Отметка времени,"Как вы считаете, какой у вас уровень тревожности? ",Какие вы знаете способы помощи себе при возникновении тревожности?,"Как часто вы не можете понять, какие эмоции испытываете по отношению к ситуации?",Как часто Вы испытываете тревогу?,"Назовите 5 эмоций, которые вы испытывали за последнюю неделю?","Умеете ли вы контролировать свои эмоции?","Как часто вы можете распознавать эмоции близких людей?","Как часто за последние две недели Вы испытывали страх, что должно произойти что-то плохое?","За последний месяц по каким причинам вы испытывали тревожность/волнение?", "Что больше всего вызывает у вас беспокойство в учебном процессе?","Я замечаю, когда близкий человек переживает, даже если он (она) пытается это скрыть","Если человек на меня обижается, я не знаю, как восстановить с ним хорошие отношения","Мне легко догадаться о чувствах человека по выражению его лица","Я хорошо знаю, чем заняться, чтобы улучшить себе настроение","У меня обычно не получается повлиять на эмоциональное состояние своего собеседника","Когда я раздражаюсь, то не могу сдержаться, и говорю всё, что думаю","Я хорошо понимаю, почему мне нравятся или не нравятся те или иные люди","Я не сразу замечаю, когда начинаю злиться","Я умею улучшить настроение окружающих","Если я увлекаюсь разговором, то говорю слишком громко и активно жестикулирую","Я понимаю душевное состояние некоторых людей без слов","В экстремальной ситуации я не могу усилием воли взять себя в руки","Я легко понимаю мимику и жесты других людей","Когда я злюсь, я знаю, почему","Я знаю, как ободрить человека, находящегося в тяжелой ситуации","Окружающие считают меня слишком эмоциональным человеком","Я способен успокоить близких, когда они находятся в напряжённом состоянии","Мне бывает трудно описать, что я чувствую по отношению к другим","Если я смущаюсь при общении с незнакомыми людьми, то могу это скрыть","Глядя на человека, я легко могу понять его эмоциональное состояние","Я контролирую выражение чувств на своем лице","Бывает, что я не понимаю, почему испытываю то или иное чувство","В критических ситуациях я умею контролировать выражение своих эмоций","Если надо, я могу разозлить человека","Когда я испытываю положительные эмоции, я знаю, как поддержать это состояние","Как правило, я понимаю, какую эмоцию испытываю","Если собеседник пытается скрыть свои эмоции, я сразу чувствую это","Я знаю как успокоиться, если я разозлился","Можно определить, что чувствует человек, просто прислушиваясь к звучанию его голоса","Я не умею управлять эмоциями других людей","Мне трудно отличить чувство вины от чувства стыда","Я умею точно угадывать, что чувствуют мои знакомые","Мне трудно справляться с плохим настроением","Если внимательно следить за выражением лица человека, то можно понять, какие эмоции он скрывает","Я не нахожу слов, чтобы описать свои чувства друзьям","Мне удаётся поддержать людей, которые делятся со мной своими переживаниями","Я умею контролировать свои эмоции","Если мой собеседник начинает раздражаться, я подчас замечаю это слишком поздно","По интонациям моего голоса легко догадаться о том, что я чувствую","Если близкий человек плачет, я теряюсь","Мне бывает весело или грустно без всякой причины","Мне трудно предвидеть смену настроения у окружающих меня людей","Я не умею преодолевать страх","Бывает, что я хочу поддержать человека, а он этого не чувствует, не понимает","У меня бывают чувства, которые я не могу точно определить","Я не понимаю, почему некоторые люди на меня обижаются",Баллы,Как часто вы испытываете тревогу?,"Как часто Вы не можете понять, какие эмоции испытываете по отношению к сит",,Межличностный эмоциональный интеллект,aнализ 1,Внутриличностный эмоциональный интеллект,aнализ 2,Понимание эмоций,aнализ 3,Управление эмоциями,aнализ 4,Общий уровень эмоционального интеллекта,aнализ 5
31.10.2024 11:47:32,3,"дыхание (два резких вдоха - выдох), абстрагирование",2,5,"радость, печаль, гнев, страх, стыд",Затрудняюсь ответить,4,Ниразу,много новой ответственности,публичный допуск ошибки ,4,1,3,2,2,3,2,3,3,3,4,3,2,2,3,3,3,3,2,3,2,2,2,3,2,3,3,2,1,4,2,3,3,3,2,3,1,1,2,3,3,3,3,2,3,2,,5,,,55,Очень высокое значение,37,Низкое значение,49,Высокое значение,44,Среднее значение,93,Высокое значение
31.10.2024 11:49:02,2,"Массаж, бассейн, баня ",2,3,"Радость, печаль, тревога, восхищение, вина",Да,4,Ниразу,"Поход к стоматологу, боязнь не выполнить дела","Сессия, необходимость посещения постоянного, субъективная оценка преподавателей ",4,1,4,4,2,2,4,4,3,4,4,1,4,3,2,4,4,1,1,4,2,2,3,3,3,3,4,4,3,3,1,3,2,2,3,4,3,1,4,2,3,2,3,2,3,3,,3,,,64,Очень высокое значение,49,Высокое значение,59,Очень высокое значение,54,Очень высокое значение,113,Очень высокое значение
31.10.2024 12:26:44,3,"Дыхание квадратом, физическая активность ",4,4,"Гнев, страх, радость, интерес, скука ",Нет,5,Ниразу,"Выступление перед группой людей (на паре), нехватка времени (дедлайны), ",Выступать перед людьми с докладом ,4,3,4,3,2,2,3,1,3,2,3,2,3,4,3,1,2,3,3,3,1,3,2,2,3,2,3,1,3,3,4,3,3,3,3,2,2,1,4,3,3,4,4,2,3,2,,4,,,53,Очень высокое значение,39,Среднее значение,51,Высокое значение,44,Среднее значение,95,Высокое значение
31.10.2024 12:33:22,1,"дыхательные практики, чтение ",1,3,"радость, грусть, удивление, интерес, спокойствие ",Да,4,Ниразу,из-за сдачи коллоквиума и нехватки информации о форме его проведения ,скучные пары с банальным представлениям докладов ,4,1,3,4,2,1,4,4,3,4,4,4,4,2,3,3,4,1,4,4,1,1,1,4,4,3,2,4,4,3,1,2,1,4,2,4,4,1,2,1,1,2,3,3,1,2,,3,,,66,Очень высокое значение,57,Очень высокое значение,64,Очень высокое значение,60,Очень высокое значение,124,Очень высокое значение
31.10.2024 12:46:43,1,"Хруст костей, попить воды, помыться, покусать щеки, поотдирать заусенцы ",1,2,"Злость, обида, радость, грусть, непонимание ",Да,5,Несколько раз,"Расставание, выгорание, усталость учеба/работа, ссоры с друзьями и родителями","Особо ничего, немного сессия, отношения с преподами, мои знания, тк проебываю из-за работы",4,4,3,4,1,2,4,2,4,4,4,1,4,3,3,3,4,1,4,3,3,2,3,2,4,4,4,2,4,3,1,2,3,3,1,4,2,1,4,1,4,4,1,3,2,3,,2,,,60,Очень высокое значение,57,Очень высокое значение,61,Очень высокое значение,57,Очень высокое значение,118,Очень высокое значение
31.10.2024 13:24:09,2,не знаю,4,2,грусть радость гнев  интерес удивление ,Да,5,Ниразу,"неа, я крутой","запах одногруппника, а если серьезно то курсовая ",4,1,3,4,2,3,4,3,4,4,4,4,3,3,4,2,4,3,3,3,2,2,4,4,3,3,4,3,4,2,1,3,1,3,3,4,3,1,3,1,3,2,1,3,3,2,,2,,,69,Очень высокое значение,50,Высокое значение,58,Очень высокое значение,63,Очень высокое значение,121,Очень высокое значение
31.10.2024 13:31:39,3,"дыхательные практики, релаксация",4,4,"радость, злость, печаль, тревога и удивление ",Затрудняюсь ответить,5,Несколько раз,"страх будущего, личные переживания, учеба",боязнь не справиться ,4,2,4,2,3,3,3,4,2,1,4,2,4,3,4,1,4,3,1,4,4,4,3,4,3,3,4,3,3,3,4,3,4,4,3,3,3,2,4,1,1,2,3,4,3,1,,4,,,65,Очень высокое значение,41,Среднее значение,56,Очень высокое значение,53,Высокое значение,109,Очень высокое значение
31.10.2024 15:28:28,3,"Подышать, подумать о хорошем, расслабиться ",3,4,"Радость, грусть , печаль, гнев , спокойствие ",Да,4,Несколько раз,Коллоквиум по клинической психологии ,"Устные опросы, экзамены, коллоквиумы",4,2,3,3,2,3,4,3,3,4,3,4,3,3,1,3,2,2,3,3,3,3,3,4,3,3,3,2,2,2,2,3,3,3,2,3,3,2,2,3,4,2,2,3,2,3,,4,,,53,Очень высокое значение,46,Среднее значение,52,Высокое значение,48,Высокое значение,100,Высокое значение
31.10.2024 15:51:35,3,"Медленное дыхание; спорт; остановиться и разобраться, что именно тревожит ",2,5,"Тревога, страх, злость, спокойствие, радость ",Нет,5,Почти каждый день,Из-за работы и учёбы,Сдача экзаменов,4,2,4,4,1,3,4,4,4,4,4,3,4,4,3,3,4,3,4,4,4,4,3,4,4,4,4,2,4,3,1,4,4,3,1,4,3,4,4,4,4,4,4,4,4,3,,5,,,61,Очень высокое значение,45,Среднее значение,55,Очень высокое значение,52,Высокое значение,107,Очень высокое значение
31.10.2024 18:15:16,2,"Дыхательные техники, считать простые числа, смотреть на небо или потолок",3,3,"Страх, гнев, ненависть, интерес, радость",Да,4,Почти каждый день,Личные и семейнын проблемы,Сессия и долги,3,3,3,1,2,2,3,2,3,3,2,2,3,2,2,3,3,3,2,2,2,2,3,4,2,2,3,2,3,3,2,3,3,3,3,3,3,2,3,2,3,2,2,3,3,2,,3,,,53,Очень высокое значение,41,Среднее значение,48,Высокое значение,47,Среднее значение,95,Высокое значение
31.10.2024 23:09:42,3,"Подумать, отчего я тревожусь. Провести самоанализ ",2,4,"Зависть, смирение, радость, восторг, восхищение ",Да,5,Ниразу,Что завидовала ,"Экзамены, когда их нужно сдавать лично преподавателю ",4,1,4,3,1,3,4,1,4,4,4,2,4,4,3,4,4,2,1,4,4,4,1,4,4,4,4,3,3,2,4,4,4,4,1,4,4,1,4,2,1,2,3,4,4,4,,4,,,69,Очень высокое значение,47,Среднее значение,63,Очень высокое значение,53,Высокое значение,116,Очень высокое значение
01.11.2024 10:18:22,3,"Дыхание по квадрату, эскапизм(фильмы, музыка) ",4,4,"Тревога, волнение, гордость, смущение, радость ",Нет,4,Почти каждый день,"Организация мероприятия, мысли о профессиональном пути, страх совершить ошибку на работе ","Сомнения в правильность выбора профессионального пути, сомнения в выборе специализации ",4,3,3,3,2,3,3,2,3,1,3,1,3,3,3,4,3,2,2,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,2,4,2,2,3,2,2,3,1,2,3,2,,4,,,55,Очень высокое значение,51,Высокое значение,53,Высокое значение,53,Высокое значение,106,Очень высокое значение
